Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
3/3/2015 16:00:00,102.34,3/3/2015 16:00:00,56.46,3/3/2015 16:00:00,87.62,3/3/2015 16:00:00,7.13,3/3/2015 16:00:00,81.58
3/4/2015 16:00:00,101.65,3/4/2015 16:00:00,55.79,3/4/2015 16:00:00,87.18,3/4/2015 16:00:00,6.88,3/4/2015 16:00:00,85.49
3/5/2015 16:00:00,102.52,3/5/2015 16:00:00,55.5,3/5/2015 16:00:00,86.74,3/5/2015 16:00:00,6.53,3/5/2015 16:00:00,86.1
3/6/2015 16:00:00,100.11,3/6/2015 16:00:00,53.37,3/6/2015 16:00:00,85.63,3/6/2015 16:00:00,6.42,3/6/2015 16:00:00,84.4
3/9/2015 16:00:00,100.66,3/9/2015 16:00:00,53.83,3/9/2015 16:00:00,85.16,3/9/2015 16:00:00,6.23,3/9/2015 16:00:00,82.53
3/10/2015 16:00:00,99.53,3/10/2015 16:00:00,53.2,3/10/2015 16:00:00,84.26,3/10/2015 16:00:00,6.14,3/10/2015 16:00:00,82.97
3/11/2015 16:00:00,98.32,3/11/2015 16:00:00,52.22,3/11/2015 16:00:00,84.02,3/11/2015 16:00:00,6.06,3/11/2015 16:00:00,81.99
3/12/2015 16:00:00,99.83,3/12/2015 16:00:00,52.01,3/12/2015 16:00:00,84.22,3/12/2015 16:00:00,6.01,3/12/2015 16:00:00,81.92
3/13/2015 16:00:00,99.21,3/13/2015 16:00:00,51.39,3/13/2015 16:00:00,83.87,3/13/2015 16:00:00,5.82,3/13/2015 16:00:00,81.86
3/16/2015 16:00:00,101.06,3/16/2015 16:00:00,52.09,3/16/2015 16:00:00,84.76,3/16/2015 16:00:00,5.87,3/16/2015 16:00:00,84
3/17/2015 16:00:00,99.89,3/17/2015 16:00:00,51.62,3/17/2015 16:00:00,84.08,3/17/2015 16:00:00,6.11,3/17/2015 16:00:00,84.5
3/18/2015 16:00:00,101.46,3/18/2015 16:00:00,51.34,3/18/2015 16:00:00,86.07,3/18/2015 16:00:00,6.12,3/18/2015 16:00:00,84.59
3/19/2015 16:00:00,101.69,3/19/2015 16:00:00,51.27,3/19/2015 16:00:00,84.41,3/19/2015 16:00:00,5.85,3/19/2015 16:00:00,85.74
3/20/2015 16:00:00,102.4,3/20/2015 16:00:00,51.42,3/20/2015 16:00:00,84.54,3/20/2015 16:00:00,6.26,3/20/2015 16:00:00,85.2
3/23/2015 16:00:00,102.98,3/23/2015 16:00:00,51.62,3/23/2015 16:00:00,85.43,3/23/2015 16:00:00,6.53,3/23/2015 16:00:00,84.25
3/24/2015 16:00:00,101.96,3/24/2015 16:00:00,51.11,3/24/2015 16:00:00,84.52,3/24/2015 16:00:00,6.29,3/24/2015 16:00:00,83.63
3/25/2015 16:00:00,100.34,3/25/2015 16:00:00,50.15,3/25/2015 16:00:00,84.86,3/25/2015 16:00:00,6.22,3/25/2015 16:00:00,83.75
3/26/2015 16:00:00,100.14,3/26/2015 16:00:00,50,3/26/2015 16:00:00,84.32,3/26/2015 16:00:00,5.94,3/26/2015 16:00:00,84.17
3/27/2015 16:00:00,100.34,3/27/2015 16:00:00,50.34,3/27/2015 16:00:00,83.58,3/27/2015 16:00:00,5.67,3/27/2015 16:00:00,84.58
3/30/2015 16:00:00,101.55,3/30/2015 16:00:00,50.53,3/30/2015 16:00:00,85.63,3/30/2015 16:00:00,5.79,3/30/2015 16:00:00,83.9
3/31/2015 16:00:00,100.6,3/31/2015 16:00:00,50.02,3/31/2015 16:00:00,85,3/31/2015 16:00:00,5.65,3/31/2015 16:00:00,83.24
4/1/2015 16:00:00,99.15,4/1/2015 16:00:00,50.3,4/1/2015 16:00:00,84.46,4/1/2015 16:00:00,5.58,4/1/2015 16:00:00,82.36
4/2/2015 16:00:00,99.64,4/2/2015 16:00:00,51.19,4/2/2015 16:00:00,84.3,4/2/2015 16:00:00,5.76,4/2/2015 16:00:00,82.28
4/6/2015 16:00:00,99.16,4/6/2015 16:00:00,51.49,4/6/2015 16:00:00,85.13,4/6/2015 16:00:00,5.82,4/6/2015 16:00:00,81.82
4/7/2015 16:00:00,100.1,4/7/2015 16:00:00,51.7,4/7/2015 16:00:00,85.75,4/7/2015 16:00:00,6.07,4/7/2015 16:00:00,82.21
4/8/2015 16:00:00,100.16,4/8/2015 16:00:00,51.62,4/8/2015 16:00:00,84.06,4/8/2015 16:00:00,6.1,4/8/2015 16:00:00,85.39
4/9/2015 16:00:00,101.33,4/9/2015 16:00:00,51.86,4/9/2015 16:00:00,84.65,4/9/2015 16:00:00,6.17,4/9/2015 16:00:00,86.14
4/10/2015 16:00:00,102.06,4/10/2015 16:00:00,52.51,4/10/2015 16:00:00,85.56,4/10/2015 16:00:00,6.04,4/10/2015 16:00:00,84.58
4/13/2015 16:00:00,100.55,4/13/2015 16:00:00,51.77,4/13/2015 16:00:00,85.34,4/13/2015 16:00:00,5.87,4/13/2015 16:00:00,84.28
4/14/2015 16:00:00,100.52,4/14/2015 16:00:00,52.12,4/14/2015 16:00:00,86.63,4/14/2015 16:00:00,6.13,4/14/2015 16:00:00,85
4/15/2015 16:00:00,100.6,4/15/2015 16:00:00,51.61,4/15/2015 16:00:00,88.08,4/15/2015 16:00:00,6.19,4/15/2015 16:00:00,84.67
4/16/2015 16:00:00,99.79,4/16/2015 16:00:00,52.05,4/16/2015 16:00:00,87.73,4/16/2015 16:00:00,6.02,4/16/2015 16:00:00,84.06
4/17/2015 16:00:00,99.58,4/17/2015 16:00:00,51.75,4/17/2015 16:00:00,86.93,4/17/2015 16:00:00,5.87,4/17/2015 16:00:00,81.9
4/20/2015 16:00:00,100.21,4/20/2015 16:00:00,52.63,4/20/2015 16:00:00,87.24,4/20/2015 16:00:00,5.87,4/20/2015 16:00:00,82.2
4/21/2015 16:00:00,100.3,4/21/2015 16:00:00,52.1,4/21/2015 16:00:00,86.88,4/21/2015 16:00:00,5.89,4/21/2015 16:00:00,82.42
4/22/2015 16:00:00,100.43,4/22/2015 16:00:00,52.12,4/22/2015 16:00:00,87.46,4/22/2015 16:00:00,6.5,4/22/2015 16:00:00,82.05
4/23/2015 16:00:00,100.46,4/23/2015 16:00:00,52.35,4/23/2015 16:00:00,87.54,4/23/2015 16:00:00,7.12,4/23/2015 16:00:00,82.28
4/24/2015 16:00:00,101.08,4/24/2015 16:00:00,52.07,4/24/2015 16:00:00,86.97,4/24/2015 16:00:00,7.92,4/24/2015 16:00:00,84.57
4/27/2015 16:00:00,100.58,4/27/2015 16:00:00,51.4,4/27/2015 16:00:00,87.01,4/27/2015 16:00:00,8.1,4/27/2015 16:00:00,84.9
4/28/2015 16:00:00,100.74,4/28/2015 16:00:00,51.71,4/28/2015 16:00:00,87.8,4/28/2015 16:00:00,7.69,4/28/2015 16:00:00,85.08
4/29/2015 16:00:00,100.39,4/29/2015 16:00:00,50.2,4/29/2015 16:00:00,87.87,4/29/2015 16:00:00,7.26,4/29/2015 16:00:00,82.45
4/30/2015 16:00:00,99.2,4/30/2015 16:00:00,50.05,4/30/2015 16:00:00,87.37,4/30/2015 16:00:00,7.68,4/30/2015 16:00:00,81.29
5/1/2015 16:00:00,100.13,5/1/2015 16:00:00,50.66,5/1/2015 16:00:00,88.85,5/1/2015 16:00:00,8.07,5/1/2015 16:00:00,81.17
5/4/2015 16:00:00,100.35,5/4/2015 16:00:00,50.68,5/4/2015 16:00:00,89.11,5/4/2015 16:00:00,8.03,5/4/2015 16:00:00,80.59
5/5/2015 16:00:00,99.5,5/5/2015 16:00:00,50.35,5/5/2015 16:00:00,88.61,5/5/2015 16:00:00,8.8,5/5/2015 16:00:00,79.54
5/6/2015 16:00:00,99.17,5/6/2015 16:00:00,50.68,5/6/2015 16:00:00,88.19,5/6/2015 16:00:00,8.19,5/6/2015 16:00:00,80
